"full_name","suburb","speed","st_asgeojson"
"Durey Rd","Dairy Flat","100","{""type"":""LineString"",""coordinates"":[[174.67048,-36.68896],[174.67063,-36.68894]]}"
,"Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71406,-36.7564],[174.71402,-36.75641],[174.71398,-36.75641],[174.71394,-36.7564],[174.71391,-36.75637]]}"
"Topliss Dr","Northcross","50","{""type"":""LineString"",""coordinates"":[[174.73195,-36.70653],[174.73208,-36.70646]]}"
"Rosedale Rd","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69855,-36.74227],[174.69869,-36.74227],[174.69891,-36.74227],[174.69928,-36.74227]]}"
"Calypso Way","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71934,-36.757],[174.71856,-36.75693]]}"
"Glenmore Rd","Coatesville","80","{""type"":""LineString"",""coordinates"":[[174.64313,-36.73124],[174.64305,-36.73104],[174.64298,-36.73086],[174.64291,-36.73061],[174.64278,-36.73042],[174.64234,-36.72991],[174.64226,-36.72976],[174.64223,-36.72961],[174.64212,-36.72885],[174.6421,-36.7286],[174.64209,-36.72811],[174.6421,-36.72792],[174.64215,-36.72776],[174.6429,-36.72616],[174.64293,-36.726],[174.64292,-36.72585],[174.64287,-36.72572],[174.6424,-36.72491],[174.64227,-36.72476]]}"
"Manaia Pl","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.74506,-36.74292],[174.74476,-36.74252]]}"
"Brighton Ter","Murrays Bay","50","{""type"":""LineString"",""coordinates"":[[174.75434,-36.73616],[174.7546,-36.73598]]}"
"Princeton Pde","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69744,-36.74049],[174.69724,-36.73993],[174.69719,-36.73982],[174.69713,-36.73976],[174.69706,-36.73973],[174.69698,-36.73972],[174.6969,-36.73973],[174.69664,-36.73982],[174.69651,-36.73985],[174.69629,-36.73987]]}"
"Sunnynook Rd","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.74363,-36.75608],[174.74372,-36.75602],[174.74377,-36.75598],[174.74381,-36.75594],[174.74384,-36.75589],[174.74385,-36.75583],[174.74385,-36.75576],[174.74384,-36.75567],[174.74382,-36.75543]]}"
"Waiau St","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.75302,-36.69198],[174.75262,-36.69141],[174.75233,-36.69105]]}"
,"Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.72126,-36.75315],[174.7213,-36.75312],[174.72134,-36.75311],[174.72138,-36.75311],[174.72142,-36.75312]]}"
"Piripiri Cres","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.7361,-36.6984],[174.73606,-36.69797]]}"
"Matipo Rd","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.74815,-36.74557],[174.74828,-36.74553],[174.74841,-36.74545],[174.74898,-36.74503],[174.74908,-36.74495]]}"
"William Pickering Dr","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.6999,-36.74845],[174.69857,-36.74691]]}"
,"Torbay",,"{""type"":""LineString"",""coordinates"":[[174.75084,-36.69548],[174.75126,-36.69509]]}"
"Killarney Ave","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74585,-36.69772],[174.74595,-36.69767],[174.74603,-36.69762],[174.74608,-36.69759],[174.74613,-36.69757],[174.74618,-36.69756],[174.74626,-36.69755],[174.74653,-36.69753],[174.74683,-36.6975],[174.7472,-36.69746]]}"
,"Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.7213,-36.75327],[174.72134,-36.75328],[174.72138,-36.75328],[174.72141,-36.75327],[174.72144,-36.75325]]}"
"Pigeonwood Ln","Albany","50","{""type"":""LineString"",""coordinates"":[[174.71094,-36.73762],[174.71077,-36.73722]]}"
"Antares Pl","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.73121,-36.74233],[174.73196,-36.74183]]}"
"Fidelis St","Torbay","50","{""type"":""LineString"",""coordinates"":[[174.74653,-36.70327],[174.74625,-36.70259]]}"
"Kerria Pl","Sunnynook","50","{""type"":""LineString"",""coordinates"":[[174.73598,-36.75269],[174.73613,-36.75259],[174.73639,-36.7524],[174.73649,-36.7523],[174.73656,-36.75218],[174.73656,-36.75198],[174.73653,-36.75172],[174.73651,-36.75155],[174.73653,-36.75138]]}"
,"Torbay",,"{""type"":""LineString"",""coordinates"":[[174.75084,-36.69548],[174.75049,-36.69522]]}"
"Quail Dr","Albany Heights","50","{""type"":""LineString"",""coordinates"":[[174.69306,-36.71821],[174.69367,-36.71802]]}"
"Te Hoe Grv","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.72023,-36.7285],[174.72031,-36.72849],[174.72063,-36.72838],[174.72078,-36.72831],[174.72091,-36.72823]]}"
"Browns Bay Rd","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.74597,-36.71907],[174.74616,-36.71895],[174.74633,-36.71885]]}"
"Kilkelly Ave","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.72853,-36.73071],[174.72884,-36.7305],[174.729,-36.73034],[174.72929,-36.73002],[174.72951,-36.72977]]}"
"Deborah Pl","Okura","80","{""type"":""LineString"",""coordinates"":[[174.71906,-36.67567],[174.71883,-36.6755]]}"
"Oak Manor Dr","Albany","50","{""type"":""LineString"",""coordinates"":[[174.69207,-36.7453],[174.69149,-36.74511],[174.69134,-36.74508],[174.69105,-36.74505],[174.69096,-36.74503],[174.69087,-36.74499]]}"
"Sharon Rd","Waiake","50","{""type"":""LineString"",""coordinates"":[[174.75225,-36.70938],[174.75202,-36.70906],[174.75191,-36.70889],[174.75184,-36.70875]]}"
"Unsworth Dr","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71559,-36.7602],[174.7156,-36.76008],[174.7156,-36.75996]]}"
"Wright Rd","Dairy Flat","70","{""type"":""LineString"",""coordinates"":[[174.69133,-36.70634],[174.6914,-36.70628],[174.69148,-36.70622],[174.6916,-36.70615]]}"
"Buncrana Pl","Pinehill","50","{""type"":""LineString"",""coordinates"":[[174.71901,-36.73002],[174.71879,-36.72986],[174.71867,-36.72974],[174.71838,-36.72943]]}"
"Calypso Way","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71844,-36.75694],[174.71821,-36.75667],[174.71806,-36.75644]]}"
"Glenvar Rd","Long Bay","50","{""type"":""LineString"",""coordinates"":[[174.72254,-36.70032],[174.72264,-36.70019],[174.72274,-36.70007],[174.72285,-36.69996]]}"
"Foley Quarry Rd","Dairy Flat","80","{""type"":""LineString"",""coordinates"":[[174.67278,-36.70509],[174.67287,-36.70499]]}"
"Te Kea Pl","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.70357,-36.7515],[174.7046,-36.75039]]}"
"Penzance Rd","Mairangi Bay","50","{""type"":""LineString"",""coordinates"":[[174.7495,-36.73805],[174.74986,-36.73803],[174.75004,-36.73804],[174.75021,-36.73807],[174.75058,-36.73818],[174.75071,-36.7382],[174.75085,-36.7382],[174.751,-36.73817],[174.75267,-36.73764]]}"
"Lorikeet Pl","Unsworth Heights","50","{""type"":""LineString"",""coordinates"":[[174.71037,-36.75822],[174.7106,-36.75786],[174.7107,-36.75766],[174.71077,-36.75746],[174.71083,-36.75719]]}"
"Clemow's Ln","Albany","50","{""type"":""LineString"",""coordinates"":[[174.70779,-36.73877],[174.70744,-36.73854]]}"
"John Downs Dr","Browns Bay","50","{""type"":""LineString"",""coordinates"":[[174.73348,-36.71824],[174.73361,-36.71815],[174.73375,-36.71803],[174.73414,-36.71765]]}"
"Whetu Pl","Rosedale","50","{""type"":""LineString"",""coordinates"":[[174.73629,-36.74726],[174.73571,-36.74663]]}"
"Okura River Rd","Okura","80","{""type"":""LineString"",""coordinates"":[[174.7217,-36.67312],[174.72183,-36.67305],[174.72231,-36.67282],[174.7224,-36.67278],[174.72261,-36.67271],[174.72277,-36.67265],[174.72291,-36.67259],[174.72298,-36.67254],[174.72299,-36.67247],[174.72296,-36.67241],[174.72291,-36.67236],[174.72263,-36.67218],[174.72257,-36.67213],[174.72255,-36.67209]]}"
